
{'data': '45.60s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '46.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '46.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '47.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '48.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '48.60s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '49.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '49.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '50.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '51.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '51.60s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '52.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '52.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '53.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '54.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '54.60s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '55.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '55.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '56.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '57.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '57.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '58.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '58.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '59.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '60.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '60.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '61.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '62.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '63.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '64.20s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '66.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '66.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '67.20s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '67.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '68.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '69.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '69.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '70.20s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '70.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '71.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '72.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '72.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '73.20s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '73.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '74.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '75.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '75.59s: YELLOW - (-1.0, -2.0)m/s2', 'type': 'chat_data'}
{'data': '76.20s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '77.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '78.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '79.20s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '79.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '80.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '81.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '81.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '82.20s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '82.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '83.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '84.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '87.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '88.20s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '90.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '91.20s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '91.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '92.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '93.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '93.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '94.20s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '94.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '95.39s: RED  - (-2.0, -10.0)m/s2', 'type': 'chat_data'}
{'data': '96.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '96.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '97.20s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '97.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '98.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '99.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '99.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '100.20s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '100.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '101.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '102.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '102.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '103.20s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '103.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '104.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '105.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '105.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '106.20s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '106.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '107.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '108.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '108.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '109.20s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '109.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '110.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '111.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '111.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '112.20s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '112.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '113.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '114.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '114.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '115.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '115.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '116.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '117.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '117.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '118.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '118.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '119.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '120.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '120.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '121.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '121.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '122.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '123.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '123.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '124.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '124.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '125.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '126.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '126.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '127.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '127.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '128.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '129.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '129.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '130.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '132.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '132.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '133.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '133.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '135.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '136.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '136.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
